district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Kathmandu-Core,2024-01-01,0,1,0,0,,14,winter,commercial,4076.8
Lalitpur,2024-01-01,0,1,0,0,,14,winter,commercial,3195.1
Bhaktapur,2024-01-01,0,1,0,0,,14,winter,commercial,2948.6
Kirtipur,2024-01-01,0,1,0,0,,14,winter,residential,1820.3
Madhyapur Thimi,2024-01-01,0,1,0,0,,14,winter,residential,1662.0
Budhanilkantha,2024-01-01,0,1,0,0,,14,winter,suburban,997.2
Tokha,2024-01-01,0,1,0,0,,14,winter,suburban,1017.0
Chandragiri,2024-01-01,0,1,0,0,,14,winter,rural,560.2
Godawari,2024-01-01,0,1,0,0,,14,winter,rural,403.4
Dakshinkali,2024-01-01,0,1,0,0,,14,winter,rural,364.3
Kathmandu-Core,2024-01-02,1,1,0,0,,13,winter,commercial,3824.8
Lalitpur,2024-01-02,1,1,0,0,,13,winter,commercial,3228.9
Bhaktapur,2024-01-02,1,1,0,0,,13,winter,commercial,2963.6
Kirtipur,2024-01-02,1,1,0,0,,13,winter,residential,1248.1
Madhyapur Thimi,2024-01-02,1,1,0,0,,13,winter,residential,1427.4
Budhanilkantha,2024-01-02,1,1,0,0,,13,winter,suburban,1007.1
Tokha,2024-01-02,1,1,0,0,,13,winter,suburban,790.6
Chandragiri,2024-01-02,1,1,0,0,,13,winter,rural,560.4
Godawari,2024-01-02,1,1,0,0,,13,winter,rural,401.0
Dakshinkali,2024-01-02,1,1,0,0,,13,winter,rural,299.0
Kathmandu-Core,2024-01-03,2,1,0,0,,12,winter,commercial,4762.3
Lalitpur,2024-01-03,2,1,0,0,,12,winter,commercial,3327.3
Bhaktapur,2024-01-03,2,1,0,0,,12,winter,commercial,2903.3
Kirtipur,2024-01-03,2,1,0,0,,12,winter,residential,1343.0
Madhyapur Thimi,2024-01-03,2,1,0,0,,12,winter,residential,1682.4
Budhanilkantha,2024-01-03,2,1,0,0,,12,winter,suburban,1094.4
Tokha,2024-01-03,2,1,0,0,,12,winter,suburban,775.7
Chandragiri,2024-01-03,2,1,0,0,,12,winter,rural,564.3
Godawari,2024-01-03,2,1,0,0,,12,winter,rural,417.6
Dakshinkali,2024-01-03,2,1,0,0,,12,winter,rural,347.4
Kathmandu-Core,2024-01-04,3,1,0,0,,11,winter,commercial,3757.6
Lalitpur,2024-01-04,3,1,0,0,,11,winter,commercial,4180.2
Bhaktapur,2024-01-04,3,1,0,0,,11,winter,commercial,2875.3
Kirtipur,2024-01-04,3,1,0,0,,11,winter,residential,1414.4
Madhyapur Thimi,2024-01-04,3,1,0,0,,11,winter,residential,1977.7
Budhanilkantha,2024-01-04,3,1,0,0,,11,winter,suburban,921.8
Tokha,2024-01-04,3,1,0,0,,11,winter,suburban,922.6
Chandragiri,2024-01-04,3,1,0,0,,11,winter,rural,413.0
Godawari,2024-01-04,3,1,0,0,,11,winter,rural,378.3
Dakshinkali,2024-01-04,3,1,0,0,,11,winter,rural,368.5
Kathmandu-Core,2024-01-05,4,1,0,0,,10,winter,commercial,4761.6
Lalitpur,2024-01-05,4,1,0,0,,10,winter,commercial,3769.6
Bhaktapur,2024-01-05,4,1,0,0,,10,winter,commercial,3067.2
Kirtipur,2024-01-05,4,1,0,0,,10,winter,residential,1686.4
Madhyapur Thimi,2024-01-05,4,1,0,0,,10,winter,residential,1599.1
Budhanilkantha,2024-01-05,4,1,0,0,,10,winter,suburban,1065.6
Tokha,2024-01-05,4,1,0,0,,10,winter,suburban,918.3
Chandragiri,2024-01-05,4,1,0,0,,10,winter,rural,657.2
Godawari,2024-01-05,4,1,0,0,,10,winter,rural,506.0
Dakshinkali,2024-01-05,4,1,0,0,,10,winter,rural,306.5
Kathmandu-Core,2024-01-06,5,1,1,0,,9,winter,commercial,3576.4
Lalitpur,2024-01-06,5,1,1,0,,9,winter,commercial,2935.8
Bhaktapur,2024-01-06,5,1,1,0,,9,winter,commercial,2910.7
Kirtipur,2024-01-06,5,1,1,0,,9,winter,residential,2086.7
Madhyapur Thimi,2024-01-06,5,1,1,0,,9,winter,residential,2326.1
Budhanilkantha,2024-01-06,5,1,1,0,,9,winter,suburban,1320.8
Tokha,2024-01-06,5,1,1,0,,9,winter,suburban,890.3
Chandragiri,2024-01-06,5,1,1,0,,9,winter,rural,546.0
Godawari,2024-01-06,5,1,1,0,,9,winter,rural,538.1
Dakshinkali,2024-01-06,5,1,1,0,,9,winter,rural,502.7
